source_english,reference_german,seq2seq_attention_output,pretrained_transformer_output
A boy wearing headphones sits on a woman's shoulders.,Ein Junge mit Kopfhörern sitzt auf den Schultern einer Frau.,ein junge in einer sitzt sitzt auf einer <unk> .,Ein Junge mit Kopfhörer sitzt auf den Schultern einer Frau.
Man in a small white boat on a lake.,Mann in einem kleinen weißen Boot auf einem See.,ein mann in einem kleinen weißen auf einem <unk> .,Mann in einem kleinen weißen Boot auf einem See.
Two dogs play with an orange toy in tall grass.,Zwei Hunde spielen im hohen Gras mit einem orangen Spielzeug.,zwei hunde spielen mit einem orangefarbenen orangefarbenen .,Zwei Hunde spielen mit einem orangen Spielzeug im hohen Gras.
People in line getting ready to board a bus.,"Menschen in einer Schlange machen sich bereit, um in einen Bus zu steigen.","menschen in <unk> , um sich um einen <unk> zu .","Leute in der Schlange machen sich bereit, in einen Bus zu steigen."
"Sitting casually in a public place, a girl reads holding the book open with her hand on which is a butterfly ring.","Ein Mädchen sitzt in bequemer Haltung an einem öffentlichen Ort und liest ein Buch, das sie mit ihrer Hand geöffnet hält, an der sich ein Ring mit einem Schmetterling befindet.","sitzen sitzen in einem <unk> , , mädchen , während ein <unk> und hat auf dem kopf <unk> .","Beiläufig an einem öffentlichen Ort sitzend, liest ein Mädchen, das das Buch mit ihrer Hand, auf dem ein Schmetterlingsring steht, offen hält."
A man sitting on a chair with a beer in his hands roasting something to eat on a wooden stick.,Ein Mann sitzt mit einem Bier in der Hand auf einem Stuhl und brät an einem Holzstab etwas zu essen.,ein mann sitzt auf einem stuhl und mit einem <unk> und mit einem <unk> auf einem <unk> .,"Ein Mann, der auf einem Stuhl sitzt und ein Bier in den Händen hat, röstet etwas auf einem Holzstäbchen."
A couple of hikers taking a break to take a picture.,"Zwei Wanderer machen eine Pause, um ein Foto zu aufzunehmen.",ein paar von einer <unk> macht einen <unk> <unk> .,"Ein paar Wanderer machen eine Pause, um ein Foto zu machen."
"A couple sits on a bench talking, while a woman walks a dog in the background.","Ein Paar sitzt auf einer Bank und unterhält sich, während im Hintergrund eine Frau einen Hund spazieren führt.","ein paar sitzt auf einer bank , während eine während eine frau , während ein hund im hintergrund .","Ein Paar sitzt auf einer Bank und redet, während eine Frau einen Hund im Hintergrund geht."
A lone firefighter helps tame a large fire.,Ein einzelner Feuerwehrmann hilft bei der Bekämpfung eines großen Brandes.,ein <unk> <unk> <unk> <unk> ein großes großen .,"Ein einsamer Feuerwehrmann hilft, ein großes Feuer zu zähmen."
A little redheaded girl wears a Spider-Man suit while riding a play horse.,Ein kleines rothaariges Mädchen in einem Spidermananzug reitet auf einem Spielzeugpferd.,"ein kleines mädchen mädchen in einem <unk> <unk> , während ein <unk> .","Ein kleines rothaariges Mädchen trägt einen Spider-Man Anzug, während er ein Spielpferd reitet."
"One man and two women wearing shorts, walk down the street.",Ein Mann und zwei Frauen in Shorts gehen die Straße entlang.,"ein mann und zwei frauen in der shorts , gehen gehen die straße entlang .","Ein Mann und zwei Frauen tragen Shorts, gehen Sie die Straße entlang."
A band is playing music on stage at a concert.,Eine Band spielt bei einem Konzert Musik auf einer Bühne.,ein band spielt auf einer <unk> auf einem <unk> .,Eine Band spielt Musik auf der Bühne bei einem Konzert.
"Two men in a foreign country smiling, one standing and one sitting with his legs crossed.","Zwei Männer in einem fremden Land lächeln, wobei einer von ihnen steht und einer mit übereinandergeschlagenen Beinen sitzt.","zwei männer in einem <unk> , , , , und und und mit einem <unk> .","Zwei Männer in einem fremden Land lächelnd, einer steht und einer sitzt mit gekreuzten Beinen."
People in a produce store picking produce to buy,Menschen in einem Laden wählen Produkte zum Kauf aus,menschen in einem <unk> <unk> <unk> <unk> <unk> <unk> .,Menschen in einem Produktgeschäft Kommissionierung Produkte zu kaufen
Four men standing near a yellow car.,Vier Männer stehen bei einem gelben Auto.,vier männer stehen in der nähe eines gelben .,Vier Männer stehen in der Nähe eines gelben Autos.
Farmers are performing their agriculture during the day.,Bauern betreiben tagsüber ihre Landwirtschaft.,<unk> <unk> <unk> <unk> <unk> <unk> .,Die Landwirte führen tagsüber ihre Landwirtschaft durch.
Two kids dancing at a dance recital.,Zwei Kinder tanzen bei einer Tanzaufführung.,zwei kinder tanzen auf einem <unk> .,Zwei Kinder tanzen bei einem Tanzabend.
A man holds an infant while leaning against a building.,Ein Mann hält ein Kleinkind und lehnt dabei an einem Gebäude.,"ein mann hält ein <unk> , während er <unk> an einem gebäude .","Ein Mann hält ein Kind, während er sich an ein Gebäude lehnt."
A dog jumps for a yellow and black ball.,Ein Hund springt einem gelb-schwarzen Ball hinterher.,ein hund springt für einen gelben und schwarzen .,Ein Hund springt für einen gelben und schwarzen Ball.
A dog runs through the grass towards the camera.,Ein Hund rennt durch das Gras auf die Kamera zu.,ein hund rennt durch den gras über die kamera .,Ein Hund läuft durch das Gras zur Kamera.
A woman in white plays a black guitar.,Eine Frau in Weiß spielt auf einer schwarzen Gitarre.,eine frau in weiß spielt spielt gitarre .,Eine Frau in Weiß spielt eine schwarze Gitarre.
A young indian boy sitting down thinking about his future.,Ein kleiner indischer Junge sitzt da und denkt über seine Zukunft nach.,"ein kleiner junge junge , der <unk> <unk> <unk> .","Ein junger Indianerjunge, der an seine Zukunft denkt."
A woman with purple hair and a man in military regalia.,Eine Frau mit lilafarbenen Haaren und ein Mann in militärischem Ornat.,eine frau mit einem haar und ein mann in <unk> .,Eine Frau mit lila Haaren und ein Mann in Militärregalia.
A woman is barbecuing tasty looking food in the park.,Eine Frau grillt lecker aussehendes Essen im Park.,eine frau hüpft <unk> in <unk> in der hand .,Eine Frau grillt leckeres Essen im Park.
A national guard soldier leading a group of other national guard soldiers singing the national anthem.,"Ein Soldat der Nationalgarde führt eine Gruppe anderer Nationalgardisten an, die die Nationalhymne singen.",eine <unk> <unk> einer <unk> eine gruppe von <unk> <unk> <unk> <unk> <unk> <unk> <unk> .,"Ein Nationalgardesoldaten, der eine Gruppe anderer Nationalgardesoldaten anführt, die die Nationalhymne singen."
A guy with curly hair is skateboarding along a gray ramp with yellow letters.,Ein Typ mit lockigem Haar fährt mit dem Skateboard eine graue Rampe mit gelben Buchstaben entlang.,ein mann mit <unk> haaren fährt mit einem <unk> <unk> mit einem <unk> .,Ein Typ mit lockigem Haar skateboardt entlang einer grauen Rampe mit gelben Buchstaben.
A guy in a bright green hoodie is crossing a crosswalk while looking at an accident between some cars and a bike.,"Ein Typ mit einem leuchtend grünen Kapuzenpullover überquert einen Fußgängerüberweg, während er zu einem Unfall zwischen ein paar Autos und einem Fahrrad blickt.","ein typ in einem <unk> grünen auf einem <unk> , während eine <unk> und schaut sich ein <unk> und <unk> .","Ein Kerl in einem hellgrünen Hoodie überquert einen Crosswalk, während er auf einen Unfall zwischen einigen Autos und einem Fahrrad schaut."
Two people playing a game facing each other.,Zwei einander zugewandte Menschen spielen ein Spiel.,zwei menschen spielen ein spiel .,"Zwei Leute spielen ein Spiel, das sich gegenübersteht."
Two girls are wet and behind them is a woman holding an open umbrella.,"Zwei Mädchen sind nass und hinter ihnen ist eine Frau, die einen geöffneten Regenschirm hält.",zwei mädchen und und hinter hinter eine frau eine frau hält eine frau .,"Zwei Mädchen sind nass und hinter ihnen ist eine Frau, die einen offenen Schirm hält."
"Young adults wearing red, yellow, and black shirts in a straight line perform a sketch.","Junge Erwachsene in einer geraden Linie, die rote, gelbe und schwarze T-Shirts tragen, führen einen Sketch auf.",junge erwachsene in rot und und schwarzen hosen in einem <unk> in einem <unk> <unk> .,"Junge Erwachsene mit roten, gelben und schwarzen Hemden in gerader Linie führen eine Skizze durch."
A red plane flying over a boat as it trails pink smoke.,Ein rotes Flugzeug fliegt über einem Boot und zieht dabei pinkfarbenen Rauch hinter sich her.,ein roten fährt auf über über boot <unk> <unk> <unk> .,"Ein rotes Flugzeug fliegt über ein Boot, während es rosa Rauch verfolgt."
Two bicyclists ride down the street past people while talking.,Zwei Fahrradfahrer fahren an Menschen vorbei die Straße entlang und unterhalten sich dabei.,"zwei radfahrer fahren die straße entlang , die die leute .","Zwei Radfahrer fahren die Straße entlang, vorbei an Leuten, während sie reden."
Someone in Asian costume is sitting down and holding a sword.,Jemand in einem asiatischen Kostüm sitzt da und hält dabei ein Schwert.,eine in einer asiatischen sitzt und und und hält ein .,Jemand im asiatischen Kostüm sitzt und hält ein Schwert.
Two women in spotted dresses walking down a sidewalk.,Zwei Frauen in gepunkteten Kleidern gehen einen Gehweg entlang.,zwei frauen in einer <unk> gehen gehen entlang .,"Zwei Frauen in gefleckten Kleidern, die einen Bürgersteig hinuntergehen."
A man and woman sleeping on a bench.,Ein Mann und eine Frau schlafen auf einer Bank.,ein mann und eine frau auf auf einer bank .,Ein Mann und eine Frau schlafen auf einer Bank.
A young boy wearing a Giants jersey swings a baseball bat at an incoming pitch.,Ein kleiner Junge mit einem Giants-Trikot schwingt einen Baseballschläger in Richtung eines ankommenden Balls.,ein kleiner junge in einem <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> .,"Ein junger Junge, der ein Giants Trikot trägt, schwingt einen Baseballschläger auf einem ankommenden Pitch."
A group of friends lay sprawled out on the floor enjoying their time together.,Eine Gruppe von Freunden liegt ausgestreckt auf dem Boden und genießt die gemeinsame Zeit.,eine gruppe von <unk> <unk> auf dem <unk> auf dem boden .,Eine Gruppe von Freunden lag ausgebreitet auf dem Boden genießen ihre Zeit zusammen.
A person with a purple shirt is painting an image of a woman on a white wall.,Eine Person in einem lilafarbenen Oberteil malt ein Bild von einer Frau auf eine weiße Wand.,eine person mit einem lilafarbenen hemd eine eine frau eine frau auf einer mauer .,Eine Person mit einem lila Hemd malt ein Bild einer Frau an einer weißen Wand.
A teenager reading a book in class with notes on her desk looking bored.,Ein Teenager mit Notizen auf seinem Tisch liest ein Buch im Klassenzimmer und sieht dabei gelangweilt aus.,ein teenager in einer <unk> in der <unk> mit <unk> auf dem kopf .,Ein Teenager las ein Buch in der Klasse mit Notizen auf ihrem Schreibtisch und sah gelangweilt aus.
Two men wearing sombrero's in New York City.,Zwei Männer tragen Sombreros in New York City.,zwei männer in <unk> <unk> <unk> <unk> .,Zwei Männer tragen Sombrero's in New York City.
The girl with the long ponytail prepared to throw the ball to another player on the field.,"Das Mädchen mit dem langen Pferdeschwanz ist bereit, den Ball einer anderen Spielerin auf dem Spielfeld zuzuwerfen.","das mädchen mit dem langen den ball , den ball zu schlagen .","Das Mädchen mit dem langen Pferdeschwanz bereit, den Ball zu einem anderen Spieler auf dem Spielfeld zu werfen."
A man wakeboards in the water.,Ein Mann beim Wakeboarden im Wasser.,ein mann <unk> im wasser wasser .,Ein Mann Wakeboards im Wasser.
A man tackles another man while playing football.,Ein Mann greift bei einem Footballspiel einen anderen Mann an.,"ein mann <unk> mann anderen mann , während spielt .","Ein Mann greift einen anderen Mann an, während er Fußball spielt."
A street performer in an orange jumpsuit rides a tall unicycle as a crowd watches,"Ein Straßenkünstler in einem orangen Overall fährt auf einem großen Einrad, während eine Menschenmenge zusieht",ein straßenkünstler in einem orangefarbenen <unk> fährt auf einer <unk> <unk> <unk> <unk> <unk> .,Ein Straßenkünstler in einem orangen Jumpsuit reitet ein großes Einrad wie ein Crowd watches
A boy band and no one even matches someone should have sent a memo.,"Eine unerreichte Boy Group, jemand hätte ein Memo schicken sollen.",ein junge <unk> und <unk> eine <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> .,Eine Boyband und niemand passt zu jemandem hätte ein Memo schicken sollen.
A baseball player with a red helmet and white pants is tagged by the catcher while running to home base.,"Ein Baseballspieler mit einem roten Helm und weißen Hosen wird vom Fänger mit dem Baseball berührt, während er zur Homebase läuft.","ein baseballspieler mit einem roten helm und und weißen hose <unk> <unk> , während sie .",Ein Baseballspieler mit einem roten Helm und weißen Hosen wird durch den Catcher beim Laufen nach Hause Basis markiert.
A man is balancing a metal ball on his arm.,Ein Mann balanciert einen Metallball auf seinem Arm.,ein mann macht einen <unk> auf seinem arm .,Ein Mann balanciert einen Metallball auf seinem Arm.
"Three older women in a living room, decorated for Christmas, a ""VAIO"" notebook is the center of attention.","Drei ältere Frauen in einem weihnachtlich geschmückten Wohnzimmer, im Zentrum der Aufmerksamkeit steht ein VAIO-Notebook.","drei ältere frauen in einem <unk> <unk> , <unk> <unk> <unk> <unk> <unk> <unk> .","Drei ältere Frauen in einem Wohnzimmer, zu Weihnachten dekoriert, ein ""VAIO"" Notizbuch ist der Mittelpunkt der Aufmerksamkeit."
"Looks like a farmers market, a few tables with various items displayed.","Sieht aus wie ein Bauernmarkt, ein paar Tische mit verschiedenen Warenauslagen.","ein <unk> auf einem <unk> , , mit einem <unk> mit <unk> .","Sieht aus wie ein Bauernmarkt, ein paar Tische mit verschiedenen Artikeln angezeigt."
A man is singing into a microphone while his band plays.,"Ein Mann singt in ein Mikrofon, während seine Band spielt.","ein mann singt in in in der hand , während sein .","Ein Mann singt in ein Mikrofon, während seine Band spielt."
A black and white dog swimming in clear water.,Ein schwarzer und ein weißer Hund schwimmen im klaren Wasser.,ein schwarzer hund hund im wasser .,"Ein schwarz-weißer Hund, der in klarem Wasser schwimmt."
Three kids wearing brown shirts and jeans jumping outdoors with leaves on the ground.,Drei Kinder in braunen Shirts und Jeans hüpfen im Freien mit Blättern auf dem Boden.,drei kinder in braunen und und jeans mit einem <unk> auf dem boden .,"Drei Kinder tragen braune Hemden und Jeans, die im Freien springen, mit Blättern auf dem Boden."
Man looks on as woman is talking while at a bar.,Mann sieht einer Frau in einer Bar beim Sprechen zu.,"ein mann schaut auf einer frau , während sie auf einem <unk> .","Der Mann sieht an, wie die Frau in einer Bar redet."
Some men are sitting on a boat near a beach covered in stacked logs and sticks.,"Einige Männer sitzen in einem Boot in der Nähe eines Strandes, der mit gestapelten Holzstämmen und Stöcken bedeckt ist.",einige männer sitzen auf einem boot in einem <unk> und <unk> <unk> <unk> .,Einige Männer sitzen auf einem Boot in der Nähe eines Strandes mit gestapelten Stämmen und Stöcken bedeckt.
A group of people waving to a person on a balcony.,Eine Gruppe von Menschen winkt einer Person auf einem Balkon.,eine gruppe von menschen auf einem <unk> auf einem <unk> .,"Eine Gruppe von Menschen, die auf einem Balkon zu einer Person winken."
Two women with their baby strollers walking along a leaves covered street.,Zwei Frauen gehen mit ihren Kinderwagen eine mit Blättern bedeckte Straße entlang.,zwei frauen mit <unk> mit einem gehen gehen auf einer straße entlang .,Zwei Frauen mit ihren Kinderwagen gehen entlang einer belaubten Straße.
Pottery and cars are shown in a parking lot with a man in a blue outfit is leaning against the front of his car.,"Das Bild zeigt Tonwaren und Autos auf einem Parkplatz und einen blau gekleideten Mann, der an der Vorderseite seines Autos lehnt.","<unk> und <unk> in einem <unk> mit einem <unk> mann in einem blauen <unk> , der vor der <unk> .","Töpferei und Autos werden auf einem Parkplatz gezeigt, mit einem Mann in einem blauen Outfit lehnt sich an die Vorderseite seines Autos."
Children are staring out the window of a blue building with red shutters.,Kinder starren aus dem Fenster eines blauen Gebäudes mit roten Fensterläden.,kinder <unk> auf dem eines <unk> eines <unk> mit roten <unk> .,Kinder starren aus dem Fenster eines blauen Gebäudes mit roten Fensterläden.
A person with long blue hair standing behind a large crowd of people.,Eine Person mit langem blauen Haar steht hinter einer großen Menschenmenge.,eine person mit langen haaren steht steht hinter hinter einem großen .,"Eine Person mit langen blauen Haaren, die hinter einer großen Menschenmenge steht."
A kickboxer lands a flying knee into the face of his opponent.,Ein Kickboxer landet einen Knietreffer im Gesicht seines Gegners.,ein <unk> <unk> ein <unk> <unk> den den gesicht gesicht .,Ein Kickboxer landet ein fliegendes Knie in das Gesicht seines Gegners.
A shaggy young male with a nose ring brushes his teeth.,Ein zotteliger junger Mann mit einem Nasenring putzt sich die Zähne.,ein <unk> junge mit einem <unk> <unk> <unk> .,Ein zackiger junger Mann mit einem Nasenring putzt sich die Zähne.
A young barefoot girl wearing a helmet walks down a mossy covered fallen down tree.,Ein kleines barfüßiges Mädchen mit einem Helm geht über einen mit Moos bedeckten umgefallenen Baum.,ein junges mädchen mädchen mit einem helm fährt auf eine <unk> hinunter hinunter hinunter entlang .,"Ein junges barfußes Mädchen, das einen Helm trägt, geht einen moosen, bedeckten Baum hinunter."
4 people trying to fix a bike on a park,"Vier Menschen versuchen in einem Park, ein Fahrrad zu reparieren","eine personen versucht , um einen <unk> <unk> .","4 Personen versuchen, ein Fahrrad auf einem Park zu reparieren"
A man in a white shirt is sitting on a crate.,Ein Mann in einem weißen T-Shirt sitzt auf einer Kiste.,ein mann in einem weißen hemd sitzt auf einem . .,Ein Mann in einem weißen Hemd sitzt auf einer Kiste.
A barefoot boy with a blue and white striped towel is standing on the beach.,Ein barfüßiger Junge mit einem blau-weiß gestreiften Handtuch steht am Strand.,ein <unk> junge mit einem blauen oberteil steht auf dem strand .,Am Strand steht ein barfußer Junge mit einem blau-weiß gestreiften Handtuch.
A man with dreadlocks is playing with the hair of a woman who is sitting on a chair on a cobblestone street.,"Ein Mann mit Rastalocken spielt mit dem Haar einer Frau, die in einer kopfsteingepflasterten Straße auf einem Stuhl sitzt.",ein mann mit freiem oberkörper spielt einer <unk> und eine frau sitzt auf einem <unk> auf einer straße .,"Ein Mann mit Dreadlocks spielt mit dem Haar einer Frau, die auf einem Stuhl auf einer Kopfsteinpflasterstraße sitzt."
Six people are in a gymnasium working on repairing some bicycles.,Sechs Menschen in einer Turnhalle reparieren ein paar Fahrräder.,sechs menschen in einem <unk> arbeiten auf einem <unk> .,"Sechs Leute sind in einer Turnhalle, die an der Reparatur von Fahrrädern arbeitet."
"Several people standing around a bowl, in which one man is manipulating a brown object.","Mehrere Menschen stehen um einen Behälter, in dem ein Mann einen braunen Gegenstand bearbeitet.","mehrere personen stehen in einem <unk> , , , der ein mann <unk> .","Mehrere Menschen stehen um eine Schüssel, in der ein Mann ein braunes Objekt manipuliert."
A soccer team player in a green shirt is running off the field.,Ein Fußballspieler in einem grünen Trikot läuft vom Spielfeld.,ein <unk> in einem grünen oberteil rennt auf dem feld .,Ein Fußball-Team-Spieler in einem grünen Hemd läuft vom Feld ab.
A large group of people watching a performer on a stage.,Eine große Gruppe von Menschen sieht einem Künstler auf einer Bühne zu.,eine große gruppe von menschen auf auf einer auf einer bühne .,Eine große Gruppe von Leuten beobachtete einen Performer auf einer Bühne.
The black dog jumps above the water towards a Frisbee floating near a boat.,"Der schwarze Hund springt über dem Wasser in Richtung einer Frisbeescheibe, die in der Nähe eines Boots treibt.","der schwarzer hund springt über das wasser in der luft , während ein <unk> <unk> der nähe eines <unk> .","Der schwarze Hund springt über das Wasser in Richtung einer Frisbee, die in der Nähe eines Bootes schwebt."
Two bicyclists are racing each other on a dirt track.,Zwei Fahrradfahrer fahren auf einer unbefestigten Straße um die Wette.,zwei <unk> auf auf einer <unk> .,Zwei Radfahrer rasen sich auf einer Schotterpiste.
A man pulling items on a cart.,Ein Mann zieht Gegenstände auf einem Wagen.,ein mann auf auf einem <unk> .,"Ein Mann, der Gegenstände auf einen Wagen zieht."
A band of four playing a gig.,Eine vierköpfige Band hat einen Auftritt.,eine band spielt <unk> spielt .,"Eine vierköpfige Band, die einen Gig spielt."
"Two young girls playing basketball, one in white attempting a layup while the other in red defends.","Zwei junge Mädchen spielen Basketball, wobei die eine in Weiß einen Korbleger versucht und die andere in Rot verteidigt.","zwei kleine mädchen spielen , in einer weißen in <unk> <unk> , während andere <unk> .","Zwei junge Mädchen spielen Basketball, eine in weiß versucht, eine Layup, während die andere in rot verteidigt."
A person wearing blue jeans and a red sweater us turning the corner of a brick wall.,Eine Person in Bluejeans und rotem Pullover biegt um die Ecke einer Ziegelmauer.,"eine person in blauen jeans und und roten roten pullover , die eine rote eines <unk> eines <unk> .","Eine Person, die blaue Jeans und einen roten Pullover trägt, dreht die Ecke einer Ziegelwand."
A dog running across a field with a ball in its mouth.,Ein Hund rennt mit einem Ball im Maul über ein Feld.,ein hund läuft über einen feld mit einem ball .,Ein Hund läuft über ein Feld mit einem Ball im Mund.
Three men walking next to a tent with a billboard sign on it.,Drei Männer gehen zu Fuß bei einem Zelt mit einem Werbeschild daran.,drei männer gehen neben einer <unk> mit einem <unk> mit <unk> .,Drei Männer gehen neben ein Zelt mit einem Plakatschild drauf.
A crowd is outside watching someone in the center of them.,"Eine im Freien versammelte Menschenmenge sieht jemandem zu, der sich in ihrer Mitte befindet.",eine menschenmenge steht in <unk> <unk> <unk> .,Eine Menge ist draußen und beobachtet jemanden in ihrer Mitte.
A large black dog runs along a fence in the grass.,Ein großer schwarzer Hund rennt an einem Zaun entlang durch das Gras.,ein großer schwarzer hund rennt durch einen zaun im gras .,Ein großer schwarzer Hund läuft an einem Zaun im Gras entlang.
Several people are enjoying a cigarette near an ashtray.,Mehrere Menschen genießen eine Zigarette bei einem Aschenbecher.,mehrere personen in einem <unk> <unk> der nähe eines <unk> .,Mehrere Menschen genießen eine Zigarette in der Nähe eines Aschenbechers.
One man in a black jacket and black hat is playing a trumpet.,Ein Mann mit schwarzer Jacke und schwarzer Mütze spielt auf einer Trompete.,ein mann in einer schwarzen jacke und spielt spielt spielt .,Ein Mann in einer schwarzen Jacke und einem schwarzen Hut spielt Trompete.
Two people sitting on a cement bench chatting over lunch.,Zwei Menschen sitzen auf einer Bank aus Beton und plaudern beim Mittagessen.,zwei menschen sitzen auf einer <unk> auf einer <unk> .,Zwei Leute sitzen auf einer Zementbank und plaudern beim Mittagessen.
"A closeup of a child's face eating a blue, heart shaped lollipop.","Die Nahaufnahme des Gesichts eines Kindes, das einen blauen, herzförmigen Lutscher isst.","eine nahaufnahme eines <unk> <unk> gesicht , , , <unk> <unk> <unk> .","Eine Nahaufnahme des Gesichts eines Kindes, das einen blauen, herzförmigen Lutscher isst."
A tattoo artist applying tattoo ink to the skin.,Ein Tätowierer trägt Tätowiertinte auf die Haut auf.,eine <unk> <unk> <unk> <unk> <unk> <unk> <unk> .,"Ein Tattoo-Künstler, der Tattoo-Tinte auf die Haut aufträgt."
Person with a red backpackers going for a hike.,Person mit einem roten Rucksack geht wandern.,eine person mit einem roten <unk> <unk> für <unk> .,"Eine Person mit einem roten Backpacker, die auf eine Wanderung geht."
A woman in white is holding a bouquet of roses.,Eine Frau in Weiß hält einen Rosenstrauß.,eine frau in weiß weißen hält hält <unk> .,Eine Frau in Weiß hält einen Strauß Rosen.
A woman talks to a young girl over a counter.,Eine Frau spricht über eine Theke hinweg mit einem kleinen Mädchen.,"eine frau , ein mädchen mädchen mädchen ein mädchen .",Eine Frau spricht mit einem jungen Mädchen über einem Tresen.
A man dressed in green snowboarding on a bench.,Ein grün gekleideter Mann fährt Snowboard auf einer Bank.,ein mann in <unk> grünen auf einer bank .,Ein Mann im grünen Snowboarding auf einer Bank.
Big brown and white spotted dog laying on a jacket on the street.,Ein großer brauner und ein weiß gefleckter Hund liegen auf einer Jacke auf der Straße.,ein braun-weißer und hund auf auf einer straße auf der straße .,"Großer brauner und weiß gefleckter Hund, der auf einer Jacke auf der Straße liegt."
